rowIndex,Projeyi Yapan İşletme,Proje Sahibi İşetme,Proje Türü,Proje Ocianix'te Yayınlanacakmı,Proje İş Alanı,İş Alt Kolu,Proje & Firma & İş  Adı,Proje Açıklama,Proje Dosya Yolu,Web Sitesi,Domain Bitiş Tarihi,Proje İlerleme Drumu,Genel Açıklama,id,status,projectType,progress,websiteUrl,websiteUrlPlaceholder,domainExpiryISO,updatedAt
1,Ocianix,Fevzi Günalp,Web Sitesi,,Sosyal Proje,Düşünürler Arşivi,Anadolu Düşünce Atlası,Önemli Türk düşünürlerin bilgileirni derleme,,https://anadoludusunceatlasi.com/,46488.0,Ara verildi,,row-01-anadolu-dusunce-atlasi,paused,website,30,https://anadoludusunceatlasi.com/,,2027-04-11,
2,Ocianix,Ocianix,SaaS,,CRM Sistem,WhastApp Chat Bot Sistemi,WhasApp Chat Bot,%100 işletmelere göre özelleştirilebilir,,bot.ocianix.com,,Yapım Aşamsında,,row-02-whasapp-chat-bot,in_progress,saas,50,https://bot.ocianix.com,,,
3,Ocianix,Ocianix,Web Sitesi,,Rezervasyon,Otel Rezervasyonu,bulunacak,Kaliteli Oteller için Rezevasyon Sistemi,,Domain alınacak,,Fikir Aşamasında,,row-03-bulunacak,idea,website,0,,Domain alınacak,,
4,Ocianix,Ocianix,Uygulama,Hayır,Firma İçi Uygulama,SEO Analiz Uygulaması,AIOS SEO Engine,Bitmiş web sitelerinin seo analizleirni yapıyor,,https://aios.ocianix.com/,,Bitti - Yayında,,row-04-aios-seo-engine,live,app,100,https://aios.ocianix.com/,,,
5,Ocianix,Ocianix,SaaS,,CRM Sistem,WhastApp CRM Sistemi,WhasApp CRM,%100 işletmelere göre özelleştirilebilir,,https://crm.ocianix.com/,,Yapım Aşamsında,,row-05-whasapp-crm,in_progress,saas,50,https://crm.ocianix.com/,,,
6,Ocianix,Ocianix,Uygulama,,Rezervasyon,Tur Rezervasyonu,Tour Guide Track,Rehberle yönelik tur takip sistemi,,https://tourguidetrack.com/,,Optimizasyonları Kaldı,,row-06-tour-guide-track,optimization,app,85,https://tourguidetrack.com/,,,
7,Ocianix,Ocianix,Web Sitesi,Evet,Dijital Ajans,,,,,ocianix.com,,Optimizasyonları Kaldı,,row-07-dijital-ajans,optimization,website,85,https://ocianix.com,,,
8,Ocianix,Ocianix,Uygulama,Evet,Partner Bulma,Acentelar için Partner Bulma,B2B Travel Finder,Konusuna göre partner bulma,,,,Ara verildi,,row-08-b2b-travel-finder,paused,app,30,,,,
9,Ocianix,Ocianix,Uygulama,,Proje Takip Sistemi,İşletme içi proje takip ,,,D:\8. AI_Projects\1. Ubuntu_Projects\3.proje.ocianix.com,https://proje.ocianix.com/,,Ara verildi,,row-09-i-sletme-ici-proje-takip,paused,app,30,https://proje.ocianix.com/,,,
10,Ocianix,Ocianix,Web Sitesi,Evet,Satış Sitesi,Kapadokya Atölye Çalışmaları,,,,,,Fikir Aşamasında,,row-10-kapadokya-atolye-calismalari,idea,website,0,,,,
